flight_number,airline,origin,destination,date,departure,arrival,class,seat_no,attribute,seat_price,status,pnr,ticket_number
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22B,Middle,1750000,occupied,XY5ZLK,7387086042465
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22C,Aisle,1900000,occupied,4WENAH,7385254710296
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22D,Aisle,1900000,occupied,QIXEH6,7383377200383
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22E,Middle,1750000,occupied,TKJXG7,7386838542642
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,22F,Window,1900000,occupied,UAZSIR,7386619208909
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23A,Window,1900000,occupied,K34JFW,7383144920121
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23B,Middle,1750000,occupied,EX6GR9,7385187061053
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23C,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23D,Aisle,1900000,occupied,ZXJ9I2,7384509477806
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23E,Middle,1750000,occupied,GYF2LP,7388172253012
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,23F,Window,1900000,occupied,0RZXW8,7387916731648
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24A,Window,1900000,occupied,W5LL2K,7385800775185
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24B,Middle,1750000,occupied,PZV5TC,7384345067668
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24C,Aisle,1900000,occupied,ILIN5M,7386839126022
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24D,Aisle,1900000,occupied,1AX6JE,7389859455255
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24E,Middle,1750000,occupied,FBBUOY,7388143859985
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,24F,Window,1900000,occupied,C4U4H9,7381006271747
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25A,Window,1900000,occupied,KIJDGY,7384794414369
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25B,Middle,1750000,occupied,U0Q5R7,7388738947015
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25C,Aisle,1900000,occupied,5NN3Y3,7381571624889
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25D,Aisle,1900000,occupied,2IPO85,7388172252056
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25E,Middle,1750000,occupied,WEQBSA,7386199812429
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,25F,Window,1900000,occupied,NKZD9O,7381905853428
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26A,Window,1900000,occupied,N90SZ0,7387216994759
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26B,Middle,1750000,occupied,BWN1NB,7385854229363
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26C,Aisle,1900000,occupied,D9V4NL,7389593366606
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26D,Aisle,1900000,occupied,HV9D82,7387242237484
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26E,Middle,1750000,occupied,4YK1L3,7380337933532
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,26F,Window,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27A,Window,1900000,occupied,ZBWEJ7,7385319779500
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27B,Middle,1750000,occupied,IXDA4N,7381130086929
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27C,Aisle,1900000,occupied,W5XOBQ,7382831238102
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27D,Aisle,1900000,occupied,NHGMCX,7382514046667
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27E,Middle,1750000,occupied,IGQ0OJ,7389785984886
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,27F,Window,1900000,occupied,3KU0RH,7387243705811
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28A,Window,1900000,occupied,R6S7J4,7381342737377
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28B,Middle,1750000,occupied,3S6S72,7386014190925
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28C,Aisle,1900000,occupied,SNT5IX,7389001921483
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28D,Aisle,1900000,occupied,REV0FJ,7388096957698
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28E,Middle,1750000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,28F,Window,1900000,occupied,NBAOG6,7381238499421
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29A,Window,1900000,occupied,0SNLEG,7389264521627
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29B,Middle,1750000,occupied,KXJXV6,7385328749696
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29C,Aisle,1900000,occupied,XL4B8T,7388873200146
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29D,Aisle,1900000,occupied,WU3TVQ,7381423297071
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29E,Middle,1750000,occupied,B41SNY,7389300945167
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,29F,Window,1900000,occupied,15WNB5,7389651638619
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30A,Window,1900000,occupied,ESFADH,7382576934711
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30B,Middle,1750000,occupied,CKY4KP,7388475854083
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30C,Aisle,1900000,occupied,5EQ33Y,7389692598730
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30D,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30E,Middle,1750000,occupied,POOPLB,7382172436458
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,30F,Window,1900000,occupied,VOPR1T,7389649091387
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31A,Window,1900000,occupied,AOBE0U,7382468509994
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31B,Middle,1750000,occupied,GFZW40,7387597452471
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31C,Aisle,1900000,occupied,OCG4OU,7388820268099
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31D,Aisle,1900000,occupied,8MN8UE,7381679163891
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31E,Middle,1750000,occupied,DEJV5Z,7387891622591
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,31F,Window,1900000,occupied,X225YT,7386241873300
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32A,Window,1900000,occupied,BZMZA1,7388418888423
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32B,Middle,1750000,occupied,M8XW73,7383555236587
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32C,Aisle,1900000,occupied,ILE6DH,7385289871117
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32D,Aisle,1900000,occupied,LLSKZ2,7384232874604
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32E,Middle,1750000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,32F,Window,1900000,occupied,6LL6Q5,7384609756410
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33A,Window,1900000,occupied,H86NEV,7381689994167
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33B,Middle,1750000,occupied,BX875Q,7384860378222
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33C,Aisle,1900000,occupied,3I3GTN,7380201419893
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33D,Aisle,1900000,available,NHG8IQ,
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33E,Middle,1750000,occupied,VW3GDI,7386053212540
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,33F,Window,1900000,occupied,GROJL4,7382537691983
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34A,Window,1900000,occupied,YHKDQ9,7382677366708
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34B,Middle,1750000,occupied,R0BCNW,7389947643674
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34C,Aisle,1900000,occupied,ISDMYS,7386425061776
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34D,Aisle,1900000,occupied,1FXIEJ,7389035824448
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34E,Middle,1750000,occupied,ATYQ1U,7384313295170
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,34F,Window,1900000,occupied,O7KJH5,7382372341575
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35A,Window,1900000,occupied,EE0TWU,7380612862714
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35B,Middle,1750000,occupied,XMT51C,7389111967273
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35C,Aisle,1900000,occupied,5PRR6S,7388357349477
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35D,Aisle,1900000,occupied,EFOPWD,7383291350705
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35E,Middle,1750000,occupied,9SYUZ9,7387720307526
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,35F,Window,1900000,occupied,DVKMMW,7385311784978
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36A,Window,1900000,occupied,4HPDCZ,7382581613197
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36B,Middle,1750000,occupied,UVYG66,7385393843307
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36C,Aisle,1900000,occupied,ME09XX,7381444751908
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36D,Aisle,1900000,occupied,8328Y4,7385082066320
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36E,Middle,1750000,occupied,WV2Y4P,7383624336212
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,36F,Window,1900000,occupied,GZHXXM,7387905137948
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37A,Window,1900000,occupied,EWGRI5,7389318115214
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37B,Middle,1750000,occupied,3H74AL,7385200720835
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37C,Aisle,1900000,occupied,F2ZQD6,7384193777087
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37D,Aisle,1900000,occupied,ZHFEF8,7389051537014
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37E,Middle,1750000,occupied,MGL6JA,7383836554089
VN163,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,06:30,07:50,economy,37F,Window,1900000,occupied,6RQATN,7381606910996
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,1A,Window,3250000,occupied,IBPL76,7388068603540
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,1C,Aisle,3250000,available,,
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,1D,Aisle,3250000,occupied,X5Q7PC,7388275412259
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,1F,Window,3250000,available,,
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,2A,Window,3250000,occupied,0J0ASJ,7381301698291
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,2C,Aisle,3250000,occupied,V3QP9K,7388387052548
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,2D,Aisle,3250000,occupied,YRQ6WD,7386772161425
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,2F,Window,3250000,occupied,DHKQQ6,7385989197203
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,3A,Window,3250000,available,,
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,3C,Aisle,3250000,available,,
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,3D,Aisle,3250000,occupied,RHOM89,7382358169626
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,3F,Window,3250000,occupied,XLY8KV,7382804423669
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,4A,Window,3250000,occupied,CNRKD2,7381660561599
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,4C,Aisle,3250000,occupied,C3KMRZ,7389648819391
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,4D,Aisle,3250000,occupied,72TVVA,7382111125827
VN189,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-12,18:30,19:50,business,4F,Window,3250000,occupied,H0AF72,7380015121517
VN165,Vietnam Airlines,Hà Nội,Đà Nẵng,2026-04-13,07:15,08:35,economy,10A,Window,2000000,occupied,TBSNAZ,7389883050199
